20-Oct-2015 02-31-52	experiment created.
20-Oct-2015 02-35-40	experiment created.
20-Oct-2015 02-35-42	taking a break
20-Oct-2015 03-27-00	experiment created.
20-Oct-2015 03-27-33	experiment created.
20-Oct-2015 03-28-03	experiment created.
20-Oct-2015 03-29-21	experiment created.
20-Oct-2015 03-31-11	experiment created.
20-Oct-2015 03-31-33	experiment created.
20-Oct-2015 03-31-39	taking a break
20-Oct-2015 03-32-58	experiment created.
20-Oct-2015 04-18-27	experiment created.
20-Oct-2015 04-41-37	experiment created.
20-Oct-2015 04-42-02	experiment created.
20-Oct-2015 05-20-19	experiment created.
20-Oct-2015 05-20-39	taking a break
20-Oct-2015 05-24-10	experiment created.
20-Oct-2015 05-24-22	taking a break
20-Oct-2015 05-34-39	experiment created.
20-Oct-2015 05-35-09	taking a break
20-Oct-2015 05-36-04	experiment created.
20-Oct-2015 05-36-17	taking a break
20-Oct-2015 05-36-33	experiment created.
20-Oct-2015 05-36-54	taking a break
20-Oct-2015 05-37-51	experiment created.
20-Oct-2015 05-38-16	taking a break
20-Oct-2015 05-38-32	experiment created.
20-Oct-2015 05-38-43	taking a break
20-Oct-2015 05-53-39	experiment created.
20-Oct-2015 05-54-04	experiment created.
20-Oct-2015 05-54-10	taking a break
20-Oct-2015 05-54-26	experiment created.
20-Oct-2015 05-54-37	taking a break
20-Oct-2015 06-02-13	experiment created.
20-Oct-2015 06-02-56	taking a break
21-Oct-2015 01-35-01	experiment created.
21-Oct-2015 01-35-28	taking a break
21-Oct-2015 02-29-29	experiment created.
21-Oct-2015 02-29-43	taking a break
21-Oct-2015 02-29-54	experiment created.
21-Oct-2015 02-30-07	taking a break
21-Oct-2015 02-52-29	experiment created.
21-Oct-2015 02-53-01	taking a break
21-Oct-2015 02-58-11	experiment created.
21-Oct-2015 02-58-28	taking a break
21-Oct-2015 03-02-34	experiment created.
21-Oct-2015 03-03-02	taking a break
21-Oct-2015 03-58-13	experiment created.
21-Oct-2015 03-58-31	taking a break
21-Oct-2015 05-24-20	experiment created.
21-Oct-2015 05-24-34	beginning practice trials:
21-Oct-2015 05-24-35	presenting practice trial 0.
21-Oct-2015 05-24-41	presenting practice trial 1.
21-Oct-2015 05-24-49	presenting practice trial 2.
21-Oct-2015 05-24-56	presenting practice trial 3.
21-Oct-2015 05-25-03	presenting practice trial 4.
21-Oct-2015 05-25-09	presenting practice trial 5.
21-Oct-2015 05-25-15	presenting practice trial 6.
21-Oct-2015 05-25-21	presenting practice trial 7.
21-Oct-2015 05-25-27	presenting practice trial 8.
21-Oct-2015 05-25-35	presenting practice trial 9.
21-Oct-2015 05-25-44	presenting practice trial 10.
21-Oct-2015 05-25-52	presenting practice trial 11.
21-Oct-2015 05-25-58	presenting practice trial 12.
